CN201720065884.8,1,0.008196721,0.032258065,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0.111111111,0.083333333,0,0.285714286,0,0.012295082,0.111111111,0,0,1
CN201720064923.2,1,0.01147541,0.043010753,0,0,,0,0.5,0,0,0,0,0,0,0,0,0,0.111111111,0.083333333,0,0.285714286,0,0.024590164,0.111111111,0,0,1
CN201621485510.3,1,0.008196721,0.032258065,0,0,0,0,0.5,0,0.133333333,0.2,0.2,0,0,0,0,0,0.111111111,0.083333333,0,0.285714286,0,0.012295082,0.518518519,0,0,1
CN201620145718.4,1,0.009836066,0.032258065,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.020491803,0,0,0,0.6
CN201510855653.2,1,0.02295082,0,0,0.333333333,0.444444444,0,1,1,0.2,0.2,0.4,0,0,0,0,0,0.111111111,0.25,0.4,0.928571429,0,0.040983607,0.111111111,0,0,1
CN201610293430.6,1,0.01147541,0,0,0.25,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0.028688525,0,0,0,1
CN201380030061.6,1,0.093442623,0.043010753,0,0.5,0.111111111,0.416666667,1,1,0.133333333,0.2,0.4,0.015625,0.047619048,1,0,0,0.222222222,0.333333333,0.4,0.857142857,1,0.229508197,0.111111111,0,0,1
CN201310589856.2,1,0.02295082,0.032258065,0.125,0.25,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0.222222222,0.333333333,0.6,0.857142857,0,0.040983607,0.148148148,0,0,1
CN201410822442.4,1,0.016393443,0.021505376,0.125,0.25,0.333333333,0,1,1,0.4,0.2,0.6,0,0,0,0,0,0,0.166666667,0.2,0.928571429,0,0.024590164,0.111111111,0.333333333,0,1
CN201520226125.6,1,0.01147541,0.032258065,0,0,0,0,0.5,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.214285714,0,0.024590164,0.074074074,0,0,1
CN201420811092.7,1,0.018032787,0.075268817,0,0,0,0,0.5,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.053278689,0.037037037,0,0,1
CN201510167228.4,1,0.013114754,0.064516129,0,0.416666667,0.444444444,0.083333333,1,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,0.928571429,0,0.004098361,0.111111111,0,0,1
CN201410794655.0,1,0.021311475,0.086021505,0,0.666666667,0.888888889,0,1,1,0.066666667,0,0,0,0,0,0,0,0,0.25,0.6,0.857142857,0,0.057377049,0.037037037,0,0,1
CN201510050768.4,1,0.018032787,0,0.125,0.25,0.222222222,0.083333333,1,1,0.133333333,0,0.2,0,0,0,0,0,0,0.166666667,0.4,0.928571429,0,0.040983607,0.111111111,0,0.333333333,1
CN201410771449.8,1,0.018032787,0,0.125,0.083333333,0.111111111,0,1,1,0.333333333,0.4,0.6,0,0,0,0,0,0,0.083333333,0,0.928571429,0,0.028688525,0,0,0,1
