CN200710010844.4,1,0.014583333,0,0,0,0,0,0,0,0,0.2,1,1,0.027777778,0,0,0,0,0,0,0,0.222222222,0.285714286,0.3,0.6,0,0.011070111,0.5,0,1,0.166666667,0,0,1
CN200710024406.3,1,0.027083333,0.010416667,0,0,0,0,0,0,0,0.1,1,1,0.055555556,0,0,0,0,0,0,0,0.111111111,0.285714286,0.3,0.6,0,0.018450185,0.5,0,1,0,0,0,1
CN200710061889.4,1,0.020833333,0,0,0,0,0,0.25,0.315789474,0.055555556,0.1,1,1,0.027777778,0,0,0,0,0,0,0,0,0.214285714,0.3,0.6,0,0.036900369,0.5,0,1,0.125,0,0,0.8
CN200610096512.8,1,0.020833333,0.020833333,0,0,0,0,0.178571429,0.263157895,0,0.05,1,1,0.027777778,0,0.2,0,0,0,0,0,0.111111111,0.214285714,0.3,0.65,0,0.029520295,0.5,0,1,0.083333333,0,0,1
CN97104162.8,1,0.03125,0,0,0,0,0,0.142857143,0,0.222222222,0,1,1,0.027777778,0,0,0,0,0,0,0,0.222222222,0.285714286,0.2,1,0,0.05904059,1,0,1,0.375,0,0,0.8
CN95190875.8,1,0.039583333,0,0,0,0,0,0.178571429,0.263157895,0,0,1,1,0.027777778,0,0,0.087719298,0.238095238,1,1,1,0.111111111,0.428571429,0.5,1,1,0.033210332,1,0,1,0.041666667,0,0,1
CN201210424551.1,1,0.016666667,0,0.272727273,0.181818182,0.1,0.125,0.214285714,0.210526316,0.111111111,0.3,1,1,0,0,0,0,0,0,0,0,0,0.142857143,0.2,0.25,0,0.040590406,0.5,0,1,0,0,0.25,1
CN201210442637.7,1,0.016666667,0.03125,0.090909091,0.818181818,0.7,0.25,0.035714286,0.052631579,0,0.3,1,1,0,0,0,0.026315789,0.071428571,0,0,0,0,0.142857143,0.1,0.25,0,0.062730627,0.5,0,1,0.125,0,0,1
CN201210190871.5,1,0.008333333,0,0.181818182,0.272727273,0.3,0,0,0,0,0.3,1,1,0.027777778,0,0,0,0,0,0,0,0,0.071428571,0.1,0.35,0,0.018450185,0.5,0,1,0.125,0,0,1
CN201110459348.3,1,0.022916667,0.020833333,0,0.181818182,0.2,0,0.214285714,0.315789474,0,0.3,1,1,0.111111111,0.666666667,0.4,0,0,0,0,0,0.111111111,0.142857143,0.1,0.35,0,0.036900369,0.5,0,1,0.208333333,0.25,0,1
CN201010153924.7,1,0.029166667,0.09375,0.272727273,0.090909091,0,0.125,0,0,0,0.3,1,1,0.194444444,0,0.2,0,0,0,0,0,0.222222222,0.142857143,0.1,0.45,0,0.033210332,0.5,0,1,0.166666667,0,0,0.8
CN201110142210.0,1,0.033333333,0.041666667,0.363636364,0.181818182,0.2,0,0.178571429,0.263157895,0,0.3,1,1,0.083333333,0.333333333,0.4,0,0,0,0,0,0,0.142857143,0.1,0.4,0,0.022140221,0.5,0,1,0.333333333,0,0.25,1
CN201010610917.5,1,0.01875,0.010416667,0,0.272727273,0.3,0,0.214285714,0.315789474,0,0.3,1,1,0.083333333,0,0.4,0,0,0,0,0,0.111111111,0.071428571,0.1,0.4,0,0.014760148,0.5,0,1,0.208333333,0,0,1
CN200780021183.3,1,0.1,0.010416667,0,0,0,0,0,0,0,0.15,1,1,0.027777778,0,0.2,0.140350877,0.261904762,1,1,1,0.222222222,0.357142857,0.3,0.6,1,0.177121771,0.5,0,1,0.041666667,0,0,1
CN200810087598.7,1,0.0625,0,0,0,0,0,0.035714286,0.052631579,0,0.15,1,1,0.111111111,0,0.2,0,0,0,0,0,0.222222222,0.357142857,0.3,0.55,0,0.055350554,0.5,0,1,0,0,0.5,1
CN200710120119.2,1,0.072916667,0,0,0,0,0,0.142857143,0.210526316,0,0.2,1,1,0.138888889,0.333333333,0.4,0,0,0,0,0,0.222222222,0.357142857,0.3,0.6,0,0.04797048,0.5,0,1,0.041666667,0,0,1
CN200610020134.5,1,0.0375,0,0,0,0,0,0.214285714,0.315789474,0,0.05,1,1,0.166666667,0,0.2,0,0,0,0,0,0.111111111,0.357142857,0.5,0.65,0,0.136531365,0.5,0,1,0.083333333,0,0,1
CN200480018305.X,1,0.066666667,0.125,0,0,0,0,0.142857143,0.210526316,0,0,1,1,0,0,0,0.140350877,0.261904762,1,1,1,0.222222222,0.285714286,0.2,0.5,1,0.143911439,0,0,1,0.125,0,0,1
CN02828678.2,1,0.06875,0.072916667,0,0,0,0,0.071428571,0.105263158,0,0,1,1,0.027777778,0.333333333,0.2,0.114035088,0.285714286,1,1,1,0.333333333,0.357142857,0.2,0.85,1,0.129151292,0.5,0,1,0.166666667,0,0,1
CN03116054.9,1,0.052083333,0.041666667,0,0,0,0,0.214285714,0,0.333333333,0.1,1,1,0.277777778,0.666666667,0.8,0,0,0,0,0,0.222222222,0.285714286,0.3,0.8,0,0.051660517,0.5,1,1,0.25,0,0,1
CN00811716.0,1,0.033333333,0,0,0,0,0,0.178571429,0.157894737,0.111111111,0,1,1,0.083333333,0.333333333,0.2,0.114035088,0.285714286,1,0,1,0.222222222,0.285714286,0.2,0.95,1,0.066420664,0.5,0,1,0.041666667,0,0,1
CN99100585.6,1,0.014583333,0,0,0,0,0,0,0,0,0,1,1,0.055555556,0,0,0,0,0,0,0,0.111111111,0.357142857,0.5,1,0,0.022140221,0.5,0,1,0.125,0,0,0.6
CN96193670.3,1,0.045833333,0.0625,0,0,0,0,0.107142857,0.052631579,0.111111111,0.1,1,1,0.055555556,0,0.4,0.061403509,0.166666667,1,1,1,0.222222222,0.571428571,0.6,1,1,0.044280443,1,0,1,0.25,0,0,1
CN201180031464.3,1,0.039583333,0.15625,0,0.181818182,0.2,0,0.178571429,0.263157895,0,0.25,1,1,0,0,0,0.043859649,0.142857143,0,0,1,0.222222222,0.285714286,0.3,0.35,1,0.040590406,0.5,0,1,0.25,0,0,1
CN201210579376.3,1,0.027083333,0.09375,0.090909091,0.181818182,0.1,0.125,0.178571429,0.157894737,0.111111111,0.25,1,1,0.083333333,0,0,0,0,0,0,0,0,0.214285714,0.2,0.25,0,0.036900369,0.5,0,1,0.25,0,0,1
CN201310149946.X,1,0.022916667,0,0.090909091,0.090909091,0.1,0,0,0,0,0.25,1,1,0.111111111,0,0.2,0,0,0,0,0,0,0.142857143,0.1,0.3,0,0.011070111,0.5,0,1,0,0,0.25,1
CN201010270221.2,1,0.029166667,0,0.090909091,0.272727273,0.3,0,0.178571429,0.263157895,0,0.25,1,1,0,0,0,0,0,0,0,0,0.222222222,0.214285714,0.1,0.45,0,0.051660517,0.5,0,1,0.125,0,0.25,1
CN201110251556.4,1,0.01875,0.010416667,0.181818182,0.090909091,0.1,0,0.178571429,0.210526316,0.055555556,0.25,1,1,0.055555556,0,0.2,0,0,0,0,0,0,0.214285714,0.2,0.4,0,0.011070111,0.5,0,1,0.083333333,0.25,0.25,1
CN201110131029.X,1,0.4,0.0625,0,0.181818182,0.1,0.125,0.178571429,0.052631579,0.222222222,0.2,1,1,0.194444444,0.666666667,0.6,0.096491228,0.214285714,0,0,0,0,0.071428571,0.1,0.4,0,0.103321033,0.5,0,1,0.041666667,0,0,1
